courseId,departmentId,courseName,credits,lectureHours,practiceHours,courseType,sourceYear,sourceId,sourceUrl,active
B71S0032,CS,编译原理,4,56,16,专业主干,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09N0014,CS,计算机网络,3,40,16,专业主干,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09D0012,CS,数据库原理,3,40,16,专业主干,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09S0061,CS,软件工程,3,40,16,专业主干,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09G1011,CS,信号与系统,3,40,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09D1011,CS,高级数据结构（全英文）,2,32,0,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09N1021,CS,物联网导论（研讨）,2,24,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09D1021,CS,大数据处理（研讨）,2,24,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09G1031,CS,计算机图形学（研讨）,2,24,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09N1031,CS,分布计算新技术（研讨）,2,16,32,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09D1051,CS,信息检索（研讨）,2,24,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09D1061,CS,数据仓库与数据挖掘（研讨）,2,24,16,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B09N1043,CS,网络与信息安全（研讨）,2,16,32,专业选修,2023,CS_2023,https://cs.seu.edu.cn/_upload/article/files/c0/e1/a1ddff26422fb6f655d8d4f65a1c/ba192a48-19cf-4f08-b707-c39f12ecca36.pdf,true
B71S1021,SOFTWARE,Python编程（研讨）,2,24,16,专业选修,2023,SE_2023,https://cs.seu.edu.cn/_upload/article/files/6d/10/9792a12f4db7b53a3d6301db8a8c/15d8b627-5777-46c2-af5b-8bb76a7c2c2b.pdf,true
B71S1170,SOFTWARE,软件建模与UML,2,24,16,专业选修,2023,SE_2023,https://cs.seu.edu.cn/_upload/article/files/6d/10/9792a12f4db7b53a3d6301db8a8c/15d8b627-5777-46c2-af5b-8bb76a7c2c2b.pdf,true
B09S1031,SOFTWARE,Java程序设计,2,24,16,专业选修,2023,SE_2023,https://cs.seu.edu.cn/_upload/article/files/6d/10/9792a12f4db7b53a3d6301db8a8c/15d8b627-5777-46c2-af5b-8bb76a7c2c2b.pdf,true
B71S1041,SOFTWARE,Java设计模式（研讨）,2,24,16,专业选修,2023,SE_2023,https://cs.seu.edu.cn/_upload/article/files/6d/10/9792a12f4db7b53a3d6301db8a8c/15d8b627-5777-46c2-af5b-8bb76a7c2c2b.pdf,true
B58A0011,AI,人工智能导论,3,40,16,专业基础,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B09A1111,AI,机器学习（研讨）,2,24,16,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B09A1131,AI,模式识别（全英文、研讨）,2,24,16,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B58A1041,AI,深度学习与应用（研讨）,2,24,16,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
B58A1061,AI,强化学习,2,32,0,专业选修,2023,AI_2023,https://cs.seu.edu.cn/_upload/article/files/ce/96/460b19804b69a1df18e4ffeb8d7f/0e756f75-618f-4b41-9372-5743a1a09d36.pdf,true
