departmentId,departmentName,homepageUrl,sourceUrl,collectedAt,active
ARCH,建筑学院,http://arch.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
ME,机械工程学院,http://me.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
POWER,能源与环境学院,http://power.seu.edu.cn/main.htm,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
RADIO,信息科学与工程学院,http://radio.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
CIVIL,土木工程学院,http://civil.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
ELECTRONIC,电子科学与工程学院,http://electronic.seu.edu.cn,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
MATH,数学学院,http://math.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
AUTO,自动化学院,http://automation.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
CS,计算机科学与工程学院,http://cse.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
PHYS,物理学院,http://physics.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
BME,生物科学与医学工程学院,http://bme.seu.edu.cn,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
SMSE,材料科学与工程学院,http://smse.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
HUMAN,人文学院,http://rwxy.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
ECON,经济管理学院,http://em.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
EE,电气工程学院,http://ee.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
SFL,外国语学院,http://sfl.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
PE,体育系,http://tyx.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
CHEM,化学化工学院,http://chem.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
TRANS,交通学院,http://tc.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
INS,仪器科学与工程学院,http://ins.seu.edu.cn,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
ARTS,艺术学院,http://arts.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
LAW,法学院,http://law.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
MED,医学院,http://med.seu.edu.cn,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
PH,公共卫生学院,http://gw.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
WJX,吴健雄学院,http://wjx.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
CIS,海外教育学院,http://cis.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
SOFTWARE,软件学院,http://cose.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
IC,微电子学院,http://ic.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
MARX,马克思主义学院,http://marxism.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
CYBER,网络空间安全学院,http://cyber.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
AI,人工智能学院,http://ai.seu.edu.cn,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
RENNES,东南大学雷恩研究生学院,,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
SMJGS,东南大学—蒙纳士大学苏州联合研究生院,http://smjgs.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
ILS,生命科学与技术学院,http://ils.seu.edu.cn/,https://www.seu.edu.cn/17399/list.htm,2026-08-31,true
