majorId,courseId,recommendedYear,recommendedSemester,required
080901,B71S0032,3,2,true
080902,B71S0032,3,2,true
080901,B09N0014,3,2,true
080902,B09N0014,3,2,true
080901,B09D0012,3,2,true
080902,B09D0012,3,2,true
080901,B09S0061,3,3,true
080902,B09S0061,3,3,true
080901,B09G1011,2,3,false
080901,B09D1011,2,3,false
080901,B09N1021,3,3,false
080901,B09D1021,3,2,false
080901,B09G1031,3,2,false
080901,B09N1031,3,2,false
080901,B09D1051,3,3,false
080901,B09D1061,3,3,false
080901,B09N1043,3,3,false
080902,B71S1021,2,2,false
080902,B71S1170,2,2,false
080902,B09S1031,3,3,false
080902,B71S1041,3,2,false
080717T,B58A0011,2,2,true
080717T,B09A1111,3,2,false
080717T,B09A1131,3,2,true
080717T,B58A1041,3,2,false
080717T,B58A1061,3,3,false
080717T,B09G1053,3,3,false
080717T,B58A1102,3,1,false
080717T,B58A1171,3,2,false
080911TK,B5710022,2,2,true
080904K,B5710022,2,2,true
080911TK,B5710051,2,2,true
080904K,B5710051,2,2,true
080911TK,B5710071,2,2,true
080904K,B5710071,2,2,true
080911TK,B5710121,2,3,true
080904K,B5710121,2,3,true
080911TK,B5710141,2,3,true
080904K,B5710141,2,3,true
080911TK,B5710161,2,3,true
080904K,B5710161,2,3,true
080911TK,B5710132,3,2,true
080911TK,B5710151,3,2,true
080911TK,B5710180,3,3,true
080904K,B5710180,3,3,true
080911TK,B5710190,2,3,true
080911TK,B5710220,3,2,true
080911TK,B5710243,3,2,true
080911TK,B5710252,4,2,false
080904K,B5710252,4,2,false
080706,B0401082,3,2,true
080718T,B0401082,3,2,true
080706,B0402010,3,2,true
080718T,B0402010,3,2,true
080706,B0412032,3,2,true
080718T,B0412032,3,2,true
080706,B0422042,3,2,true
080718T,B0422042,3,2,true
080706,B0432060,3,2,true
080718T,B0432060,3,2,true
080706,B0442050,3,2,true
080718T,B0442050,3,2,true
080706,B0412070,3,3,true
080718T,B0412070,3,3,true
080706,B0422080,3,3,true
080718T,B0422080,3,3,true
080706,B0432111,3,3,true
080706,B0442090,3,3,true
080706,B0452010,3,3,true
080718T,B0452010,3,3,true
080706,B0423252,3,3,true
080718T,B0423252,3,3,true
080301,B2201020,2,2,true
080303T,B2201020,2,2,true
080301,B2201082,2,3,true
080303T,B2201082,2,3,true
080301,B2201041,2,2,true
080303T,B2201041,2,2,true
080301,B2201030,2,3,true
080303T,B2201030,2,3,true
080301,B2201051,2,3,true
080303T,B2201051,2,3,true
080301,B2201111,2,3,true
080303T,B2201111,2,3,true
080301,B2201060,2,3,true
080303T,B2201060,2,3,true
080301,B2201071,3,2,true
080303T,B2201071,3,2,true
080303T,B2202120,3,2,true
080303T,B2202130,3,3,true
080303T,B2202190,3,3,true
080303T,B2202200,4,2,false
080303T,B2202151,3,2,true
080303T,B2202101,3,2,true
080301,B2203011,3,2,false
080303T,B2203011,3,2,false
080301,B2203021,3,2,false
080303T,B2203021,3,2,false
